Logger, boumedyenDZ:         	Automatically truncated logfile to 1048576, MadelineProto 8.1.0
PingLoop, boumedyenDZ:       	Ping DC 4.0
Session, boumedyenDZ:        	Garbage collected 35 incoming messages in DC 4, 0 left
Session, boumedyenDZ:        	Garbage collected 34 outgoing messages in DC 4, 8 left
PingLoop, boumedyenDZ:       	Ping DC 4.0
SessionPaths, boumedyenDZ:   	Waiting for exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/safe.php.lock...
SessionPaths, boumedyenDZ:   	Got exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/safe.php.lock...
SessionPaths, boumedyenDZ:   	Waiting for exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/lightState.php.lock...
SessionPaths, boumedyenDZ:   	Got exclusive lock of /home/boumedyen/projects/telegram_posts_aggregator/session.madeline/lightState.php.lock...
APIWrapper, boumedyenDZ:     	Saved session!
PingLoop, boumedyenDZ:       	Ping DC 4.0
Session, boumedyenDZ:        	Garbage collected 35 incoming messages in DC 4, 0 left
Session, boumedyenDZ:        	Garbage collected 32 outgoing messages in DC 4, 5 left
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateUserStatus
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
Session, boumedyenDZ:        	Garbage collected 44 incoming messages in DC 4, 0 left
Session, boumedyenDZ:        	Garbage collected 38 outgoing messages in DC 4, 0 left
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
FeedLoop, boumedyenDZ:       	Resumed update feed loop generic
UpdateHandler, boumedyenDZ:  	Saving update of type updateChannelMessageViews
PingLoop, boumedyenDZ:       	Ping DC 4.0
UpdateHandler, boumedyenDZ:  	Parsing updates (updateShort) received via the socket...
